Dataset ID,Quantum State,Method,Expected Fidelity,Observed Fidelity,Expected Error,Observed Error,CI Lower Bound,CI Upper Bound
QST Dataset3,State 1,Bayesian Inference,0.949,0.779,0.071,0.148,0.706,0.773
QST Dataset3,State 2,Maximum Likelihood,0.829,0.705,0.196,0.064,0.744,0.85
QST Dataset3,State 3,Variational Quantum Eigensolver,0.743,0.9,0.089,0.145,0.881,0.827
QST Dataset3,State 4,Quantum Neural Networks,0.747,0.729,0.148,0.139,0.885,0.757
QST Dataset3,State 5,Reinforcement Learning Quantum Algorithms,0.749,0.867,0.148,0.168,0.9,0.781
QST Dataset3,State 1,Shadow Tomography,0.738,0.766,0.093,0.165,0.91,0.825
QST Dataset3,State 2,Bayesian Inference,0.882,0.759,0.224,0.16,0.714,0.883
QST Dataset3,State 3,Maximum Likelihood,0.907,0.938,0.063,0.149,0.765,0.867
QST Dataset3,State 4,Variational Quantum Eigensolver,0.787,0.816,0.283,0.206,0.712,0.821
QST Dataset3,State 5,Quantum Neural Networks,0.84,0.942,0.277,0.287,0.803,0.812
QST Dataset3,State 1,Reinforcement Learning Quantum Algorithms,0.866,0.867,0.189,0.051,0.725,0.806
QST Dataset3,State 2,Shadow Tomography,0.809,0.813,0.063,0.287,0.869,0.91
QST Dataset3,State 3,Bayesian Inference,0.914,0.92,0.112,0.13,0.925,0.877
QST Dataset3,State 4,Maximum Likelihood,0.73,0.913,0.262,0.211,0.887,0.774
QST Dataset3,State 5,Variational Quantum Eigensolver,0.81,0.735,0.242,0.223,0.699,0.876
QST Dataset3,State 1,Quantum Neural Networks,0.908,0.94,0.163,0.27,0.878,0.859
QST Dataset3,State 2,Reinforcement Learning Quantum Algorithms,0.938,0.92,0.109,0.091,0.714,0.866
QST Dataset3,State 3,Shadow Tomography,0.814,0.738,0.271,0.108,0.918,0.957
QST Dataset3,State 4,Bayesian Inference,0.77,0.935,0.144,0.206,0.771,0.925
QST Dataset3,State 5,Maximum Likelihood,0.818,0.94,0.181,0.109,0.65,0.942
QST Dataset3,State 1,Variational Quantum Eigensolver,0.792,0.781,0.261,0.246,0.773,0.858
QST Dataset3,State 2,Quantum Neural Networks,0.828,0.711,0.151,0.281,0.79,0.755
QST Dataset3,State 3,Reinforcement Learning Quantum Algorithms,0.717,0.811,0.062,0.266,0.861,0.784
QST Dataset3,State 4,Shadow Tomography,0.789,0.736,0.086,0.163,0.879,0.855
QST Dataset3,State 5,Bayesian Inference,0.779,0.829,0.3,0.285,0.822,0.947
QST Dataset3,State 1,Maximum Likelihood,0.857,0.852,0.29,0.189,0.921,0.871
QST Dataset3,State 2,Variational Quantum Eigensolver,0.798,0.913,0.198,0.117,0.917,0.802
QST Dataset3,State 3,Quantum Neural Networks,0.923,0.765,0.072,0.149,0.774,0.927
QST Dataset3,State 4,Reinforcement Learning Quantum Algorithms,0.909,0.752,0.223,0.189,0.929,0.758
QST Dataset3,State 5,Shadow Tomography,0.88,0.868,0.265,0.178,0.775,0.862
QST Dataset3,State 1,Bayesian Inference,0.929,0.751,0.131,0.208,0.889,0.837
QST Dataset3,State 2,Maximum Likelihood,0.948,0.706,0.259,0.066,0.906,0.869
QST Dataset3,State 3,Variational Quantum Eigensolver,0.871,0.867,0.226,0.239,0.867,0.896
QST Dataset3,State 4,Quantum Neural Networks,0.71,0.705,0.249,0.199,0.782,0.936
QST Dataset3,State 5,Reinforcement Learning Quantum Algorithms,0.808,0.755,0.132,0.259,0.805,0.792
QST Dataset3,State 1,Shadow Tomography,0.797,0.89,0.172,0.284,0.696,0.756
QST Dataset3,State 2,Bayesian Inference,0.897,0.911,0.066,0.261,0.711,0.799
QST Dataset3,State 3,Maximum Likelihood,0.902,0.757,0.067,0.256,0.876,0.85
QST Dataset3,State 4,Variational Quantum Eigensolver,0.92,0.79,0.285,0.297,0.751,0.859
QST Dataset3,State 5,Quantum Neural Networks,0.914,0.739,0.241,0.07,0.824,0.921
QST Dataset3,State 1,Reinforcement Learning Quantum Algorithms,0.949,0.737,0.102,0.107,0.906,0.809
QST Dataset3,State 2,Shadow Tomography,0.912,0.877,0.213,0.083,0.731,0.835
QST Dataset3,State 3,Bayesian Inference,0.741,0.728,0.215,0.28,0.655,0.948
QST Dataset3,State 4,Maximum Likelihood,0.727,0.886,0.087,0.257,0.928,0.751
QST Dataset3,State 5,Variational Quantum Eigensolver,0.845,0.915,0.058,0.182,0.737,0.84
QST Dataset3,State 1,Quantum Neural Networks,0.949,0.701,0.217,0.136,0.661,0.828
QST Dataset3,State 2,Reinforcement Learning Quantum Algorithms,0.797,0.789,0.185,0.276,0.731,0.932
QST Dataset3,State 3,Shadow Tomography,0.777,0.846,0.184,0.138,0.779,0.903
QST Dataset3,State 4,Bayesian Inference,0.702,0.804,0.212,0.279,0.788,0.868
QST Dataset3,State 5,Maximum Likelihood,0.863,0.835,0.198,0.161,0.803,0.867
QST Dataset3,State 1,Variational Quantum Eigensolver,0.707,0.862,0.169,0.139,0.82,0.837
QST Dataset3,State 2,Quantum Neural Networks,0.741,0.857,0.176,0.296,0.854,0.84
QST Dataset3,State 3,Reinforcement Learning Quantum Algorithms,0.82,0.844,0.209,0.238,0.849,0.933
QST Dataset3,State 4,Shadow Tomography,0.766,0.895,0.066,0.203,0.902,0.961
QST Dataset3,State 5,Bayesian Inference,0.886,0.806,0.241,0.091,0.77,0.965
QST Dataset3,State 1,Maximum Likelihood,0.787,0.885,0.081,0.255,0.676,0.951
QST Dataset3,State 2,Variational Quantum Eigensolver,0.906,0.84,0.269,0.25,0.898,0.965
QST Dataset3,State 3,Quantum Neural Networks,0.706,0.94,0.176,0.238,0.822,0.912
QST Dataset3,State 4,Reinforcement Learning Quantum Algorithms,0.757,0.763,0.181,0.166,0.846,0.961
QST Dataset3,State 5,Shadow Tomography,0.789,0.752,0.2,0.224,0.798,0.948
QST Dataset3,State 1,Bayesian Inference,0.808,0.944,0.138,0.297,0.732,0.964
QST Dataset3,State 2,Maximum Likelihood,0.832,0.946,0.157,0.209,0.777,0.887
QST Dataset3,State 3,Variational Quantum Eigensolver,0.826,0.897,0.087,0.186,0.765,0.865
QST Dataset3,State 4,Quantum Neural Networks,0.907,0.75,0.069,0.216,0.776,0.941
QST Dataset3,State 5,Reinforcement Learning Quantum Algorithms,0.869,0.797,0.081,0.229,0.674,0.814
QST Dataset3,State 1,Shadow Tomography,0.703,0.711,0.254,0.09,0.826,0.949
QST Dataset3,State 2,Bayesian Inference,0.948,0.894,0.081,0.181,0.682,0.886
QST Dataset3,State 3,Maximum Likelihood,0.921,0.917,0.263,0.162,0.676,0.849
QST Dataset3,State 4,Variational Quantum Eigensolver,0.926,0.865,0.209,0.081,0.83,0.751
QST Dataset3,State 5,Quantum Neural Networks,0.839,0.939,0.088,0.125,0.681,0.876
QST Dataset3,State 1,Reinforcement Learning Quantum Algorithms,0.846,0.91,0.229,0.206,0.727,0.89
QST Dataset3,State 2,Shadow Tomography,0.706,0.852,0.234,0.214,0.885,0.865
QST Dataset3,State 3,Bayesian Inference,0.857,0.943,0.072,0.101,0.927,0.753
QST Dataset3,State 4,Maximum Likelihood,0.831,0.866,0.057,0.167,0.906,0.773
QST Dataset3,State 5,Variational Quantum Eigensolver,0.819,0.741,0.079,0.27,0.662,0.76
QST Dataset3,State 1,Quantum Neural Networks,0.762,0.917,0.243,0.063,0.826,0.932
QST Dataset3,State 2,Reinforcement Learning Quantum Algorithms,0.926,0.715,0.253,0.206,0.679,0.766
QST Dataset3,State 3,Shadow Tomography,0.83,0.914,0.293,0.148,0.868,0.84
QST Dataset3,State 4,Bayesian Inference,0.759,0.827,0.272,0.244,0.671,0.956
QST Dataset3,State 5,Maximum Likelihood,0.938,0.726,0.125,0.173,0.747,0.898
QST Dataset3,State 1,Variational Quantum Eigensolver,0.932,0.896,0.223,0.231,0.923,0.847
QST Dataset3,State 2,Quantum Neural Networks,0.854,0.753,0.184,0.284,0.835,0.78
QST Dataset3,State 3,Reinforcement Learning Quantum Algorithms,0.772,0.928,0.112,0.191,0.766,0.81
QST Dataset3,State 4,Shadow Tomography,0.94,0.739,0.25,0.081,0.768,0.836
QST Dataset3,State 5,Bayesian Inference,0.779,0.709,0.05,0.105,0.782,0.951
QST Dataset3,State 1,Maximum Likelihood,0.858,0.864,0.172,0.258,0.885,0.961
QST Dataset3,State 2,Variational Quantum Eigensolver,0.898,0.766,0.135,0.072,0.839,0.905
QST Dataset3,State 3,Quantum Neural Networks,0.851,0.753,0.143,0.052,0.842,0.813
QST Dataset3,State 4,Reinforcement Learning Quantum Algorithms,0.903,0.898,0.195,0.219,0.834,0.808
QST Dataset3,State 5,Shadow Tomography,0.708,0.737,0.231,0.178,0.92,0.921
QST Dataset3,State 1,Bayesian Inference,0.886,0.843,0.241,0.094,0.871,0.777
QST Dataset3,State 2,Maximum Likelihood,0.923,0.782,0.138,0.226,0.763,0.913
QST Dataset3,State 3,Variational Quantum Eigensolver,0.711,0.768,0.057,0.137,0.78,0.854
QST Dataset3,State 4,Quantum Neural Networks,0.749,0.796,0.128,0.166,0.828,0.878
QST Dataset3,State 5,Reinforcement Learning Quantum Algorithms,0.934,0.833,0.191,0.052,0.884,0.934
QST Dataset3,State 1,Shadow Tomography,0.92,0.927,0.275,0.189,0.709,0.922
QST Dataset3,State 2,Bayesian Inference,0.749,0.706,0.179,0.091,0.847,0.86
QST Dataset3,State 3,Maximum Likelihood,0.806,0.817,0.229,0.13,0.796,0.811
QST Dataset3,State 4,Variational Quantum Eigensolver,0.705,0.78,0.116,0.176,0.651,0.769
QST Dataset3,State 5,Quantum Neural Networks,0.716,0.766,0.094,0.166,0.926,0.922
QST Dataset3,State 1,Reinforcement Learning Quantum Algorithms,0.756,0.795,0.117,0.158,0.716,0.866
QST Dataset3,State 2,Shadow Tomography,0.786,0.886,0.124,0.053,0.739,0.788
QST Dataset3,State 3,Bayesian Inference,0.78,0.783,0.215,0.272,0.902,0.909
QST Dataset3,State 4,Maximum Likelihood,0.744,0.809,0.239,0.141,0.867,0.882
QST Dataset3,State 5,Variational Quantum Eigensolver,0.82,0.761,0.263,0.094,0.825,0.759
QST Dataset3,State 1,Quantum Neural Networks,0.82,0.815,0.11,0.185,0.747,0.872
QST Dataset3,State 2,Reinforcement Learning Quantum Algorithms,0.778,0.934,0.207,0.15,0.852,0.793
QST Dataset3,State 3,Shadow Tomography,0.868,0.721,0.199,0.177,0.826,0.752
QST Dataset3,State 4,Bayesian Inference,0.743,0.894,0.085,0.095,0.66,0.783
QST Dataset3,State 5,Maximum Likelihood,0.882,0.823,0.084,0.294,0.89,0.77
QST Dataset3,State 1,Variational Quantum Eigensolver,0.927,0.706,0.273,0.091,0.895,0.864
QST Dataset3,State 2,Quantum Neural Networks,0.927,0.789,0.12,0.188,0.889,0.936
QST Dataset3,State 3,Reinforcement Learning Quantum Algorithms,0.735,0.756,0.154,0.054,0.764,0.88
QST Dataset3,State 4,Shadow Tomography,0.934,0.839,0.213,0.082,0.812,0.943
QST Dataset3,State 5,Bayesian Inference,0.94,0.864,0.27,0.095,0.655,0.956
QST Dataset3,State 1,Maximum Likelihood,0.878,0.725,0.222,0.272,0.773,0.782
QST Dataset3,State 2,Variational Quantum Eigensolver,0.705,0.727,0.239,0.123,0.862,0.817
QST Dataset3,State 3,Quantum Neural Networks,0.75,0.858,0.294,0.215,0.818,0.937
QST Dataset3,State 4,Reinforcement Learning Quantum Algorithms,0.933,0.871,0.091,0.069,0.855,0.928
QST Dataset3,State 5,Shadow Tomography,0.914,0.75,0.069,0.281,0.727,0.953
QST Dataset3,State 1,Bayesian Inference,0.92,0.911,0.183,0.237,0.717,0.793
QST Dataset3,State 2,Maximum Likelihood,0.924,0.832,0.129,0.12,0.735,0.936
QST Dataset3,State 3,Variational Quantum Eigensolver,0.759,0.877,0.172,0.237,0.693,0.842
QST Dataset3,State 4,Quantum Neural Networks,0.864,0.716,0.127,0.132,0.712,0.961
QST Dataset3,State 5,Reinforcement Learning Quantum Algorithms,0.706,0.73,0.232,0.133,0.675,0.762
QST Dataset3,State 1,Shadow Tomography,0.816,0.76,0.222,0.24,0.761,0.785
QST Dataset3,State 2,Bayesian Inference,0.925,0.934,0.196,0.105,0.802,0.873
QST Dataset3,State 3,Maximum Likelihood,0.724,0.836,0.053,0.129,0.926,0.916
QST Dataset3,State 4,Variational Quantum Eigensolver,0.745,0.93,0.13,0.236,0.826,0.826
QST Dataset3,State 5,Quantum Neural Networks,0.798,0.825,0.127,0.065,0.705,0.892
QST Dataset3,State 1,Reinforcement Learning Quantum Algorithms,0.83,0.731,0.28,0.106,0.692,0.768
QST Dataset3,State 2,Shadow Tomography,0.877,0.918,0.273,0.291,0.77,0.754
QST Dataset3,State 3,Bayesian Inference,0.856,0.826,0.264,0.245,0.663,0.881
QST Dataset3,State 4,Maximum Likelihood,0.72,0.821,0.195,0.271,0.695,0.822
QST Dataset3,State 5,Variational Quantum Eigensolver,0.889,0.946,0.164,0.141,0.825,0.923
QST Dataset3,State 1,Quantum Neural Networks,0.776,0.715,0.071,0.178,0.782,0.862
QST Dataset3,State 2,Reinforcement Learning Quantum Algorithms,0.922,0.768,0.055,0.105,0.702,0.872
QST Dataset3,State 3,Shadow Tomography,0.944,0.789,0.287,0.217,0.682,0.929
QST Dataset3,State 4,Bayesian Inference,0.807,0.754,0.218,0.112,0.868,0.812
QST Dataset3,State 5,Maximum Likelihood,0.816,0.825,0.118,0.197,0.873,0.852
QST Dataset3,State 1,Variational Quantum Eigensolver,0.751,0.725,0.283,0.287,0.749,0.813
QST Dataset3,State 2,Quantum Neural Networks,0.886,0.928,0.07,0.284,0.76,0.847
QST Dataset3,State 3,Reinforcement Learning Quantum Algorithms,0.782,0.785,0.127,0.056,0.895,0.856
QST Dataset3,State 4,Shadow Tomography,0.757,0.948,0.128,0.11,0.765,0.825
QST Dataset3,State 5,Bayesian Inference,0.776,0.821,0.218,0.247,0.868,0.844
QST Dataset3,State 1,Maximum Likelihood,0.803,0.727,0.295,0.068,0.749,0.962
QST Dataset3,State 2,Variational Quantum Eigensolver,0.786,0.885,0.263,0.201,0.692,0.819
QST Dataset3,State 3,Quantum Neural Networks,0.834,0.825,0.105,0.251,0.759,0.952
QST Dataset3,State 4,Reinforcement Learning Quantum Algorithms,0.736,0.798,0.267,0.284,0.803,0.89
QST Dataset3,State 5,Shadow Tomography,0.908,0.719,0.055,0.277,0.686,0.89
QST Dataset3,State 1,Bayesian Inference,0.805,0.797,0.188,0.293,0.864,0.945
QST Dataset3,State 2,Maximum Likelihood,0.805,0.713,0.213,0.269,0.749,0.812
QST Dataset3,State 3,Variational Quantum Eigensolver,0.796,0.759,0.257,0.3,0.728,0.837
QST Dataset3,State 4,Quantum Neural Networks,0.844,0.856,0.23,0.058,0.902,0.965
QST Dataset3,State 5,Reinforcement Learning Quantum Algorithms,0.91,0.949,0.231,0.098,0.919,0.911
QST Dataset3,State 1,Shadow Tomography,0.851,0.794,0.185,0.084,0.817,0.799
QST Dataset3,State 2,Bayesian Inference,0.899,0.863,0.141,0.216,0.654,0.875
QST Dataset3,State 3,Maximum Likelihood,0.923,0.735,0.183,0.14,0.689,0.751
QST Dataset3,State 4,Variational Quantum Eigensolver,0.755,0.732,0.106,0.155,0.871,0.906
QST Dataset3,State 5,Quantum Neural Networks,0.921,0.938,0.125,0.189,0.903,0.792
QST Dataset3,State 1,Reinforcement Learning Quantum Algorithms,0.738,0.807,0.14,0.151,0.664,0.903
QST Dataset3,State 2,Shadow Tomography,0.737,0.737,0.121,0.184,0.757,0.878
QST Dataset3,State 3,Bayesian Inference,0.941,0.863,0.095,0.152,0.78,0.896
QST Dataset3,State 4,Maximum Likelihood,0.828,0.797,0.198,0.14,0.723,0.969
QST Dataset3,State 5,Variational Quantum Eigensolver,0.922,0.797,0.281,0.281,0.674,0.786
QST Dataset3,State 1,Quantum Neural Networks,0.754,0.889,0.07,0.107,0.668,0.965
QST Dataset3,State 2,Reinforcement Learning Quantum Algorithms,0.743,0.895,0.151,0.147,0.907,0.926
QST Dataset3,State 3,Shadow Tomography,0.769,0.761,0.163,0.138,0.746,0.857
QST Dataset3,State 4,Bayesian Inference,0.879,0.903,0.069,0.172,0.708,0.907
QST Dataset3,State 5,Maximum Likelihood,0.838,0.921,0.228,0.055,0.806,0.883
QST Dataset3,State 1,Variational Quantum Eigensolver,0.899,0.872,0.23,0.131,0.731,0.773
QST Dataset3,State 2,Quantum Neural Networks,0.883,0.878,0.275,0.273,0.834,0.798
QST Dataset3,State 3,Reinforcement Learning Quantum Algorithms,0.888,0.869,0.186,0.139,0.651,0.835
QST Dataset3,State 4,Shadow Tomography,0.874,0.879,0.263,0.256,0.76,0.898
QST Dataset3,State 5,Bayesian Inference,0.744,0.895,0.2,0.259,0.691,0.847
QST Dataset3,State 1,Maximum Likelihood,0.704,0.731,0.061,0.249,0.894,0.908
QST Dataset3,State 2,Variational Quantum Eigensolver,0.71,0.805,0.245,0.181,0.747,0.774
QST Dataset3,State 3,Quantum Neural Networks,0.805,0.761,0.166,0.172,0.89,0.814
QST Dataset3,State 4,Reinforcement Learning Quantum Algorithms,0.903,0.944,0.163,0.123,0.791,0.788
QST Dataset3,State 5,Shadow Tomography,0.718,0.725,0.285,0.098,0.73,0.83
QST Dataset3,State 1,Bayesian Inference,0.949,0.851,0.242,0.051,0.754,0.962
QST Dataset3,State 2,Maximum Likelihood,0.737,0.846,0.195,0.108,0.896,0.77
QST Dataset3,State 3,Variational Quantum Eigensolver,0.878,0.933,0.124,0.075,0.84,0.899
QST Dataset3,State 4,Quantum Neural Networks,0.839,0.945,0.05,0.235,0.755,0.835
QST Dataset3,State 5,Reinforcement Learning Quantum Algorithms,0.745,0.717,0.204,0.206,0.689,0.809
QST Dataset3,State 1,Shadow Tomography,0.891,0.73,0.081,0.072,0.914,0.803
QST Dataset3,State 2,Bayesian Inference,0.919,0.888,0.142,0.277,0.708,0.897
QST Dataset3,State 3,Maximum Likelihood,0.891,0.718,0.189,0.186,0.72,0.956
QST Dataset3,State 4,Variational Quantum Eigensolver,0.844,0.757,0.286,0.11,0.729,0.828
QST Dataset3,State 5,Quantum Neural Networks,0.949,0.896,0.239,0.192,0.745,0.793
QST Dataset3,State 1,Reinforcement Learning Quantum Algorithms,0.728,0.797,0.282,0.051,0.894,0.859
QST Dataset3,State 2,Shadow Tomography,0.914,0.813,0.219,0.056,0.798,0.898
QST Dataset3,State 3,Bayesian Inference,0.871,0.903,0.19,0.094,0.819,0.926
QST Dataset3,State 4,Maximum Likelihood,0.737,0.72,0.053,0.052,0.739,0.818
QST Dataset3,State 5,Variational Quantum Eigensolver,0.741,0.878,0.203,0.074,0.805,0.759
QST Dataset3,State 1,Quantum Neural Networks,0.876,0.796,0.286,0.274,0.677,0.89
QST Dataset3,State 2,Reinforcement Learning Quantum Algorithms,0.748,0.889,0.123,0.085,0.713,0.781
QST Dataset3,State 3,Shadow Tomography,0.929,0.835,0.093,0.189,0.723,0.782
QST Dataset3,State 4,Bayesian Inference,0.876,0.863,0.211,0.108,0.791,0.773
QST Dataset3,State 5,Maximum Likelihood,0.864,0.877,0.171,0.154,0.859,0.846
QST Dataset3,State 1,Variational Quantum Eigensolver,0.744,0.719,0.056,0.236,0.896,0.881
QST Dataset3,State 2,Quantum Neural Networks,0.892,0.707,0.282,0.213,0.69,0.783
QST Dataset3,State 3,Reinforcement Learning Quantum Algorithms,0.887,0.7,0.171,0.128,0.879,0.86
QST Dataset3,State 4,Shadow Tomography,0.729,0.883,0.169,0.18,0.871,0.798
QST Dataset3,State 5,Bayesian Inference,0.902,0.928,0.146,0.104,0.858,0.845
QST Dataset3,State 1,Maximum Likelihood,0.823,0.893,0.205,0.05,0.674,0.881
QST Dataset3,State 2,Variational Quantum Eigensolver,0.909,0.772,0.279,0.087,0.688,0.84
QST Dataset3,State 3,Quantum Neural Networks,0.898,0.846,0.126,0.087,0.769,0.859
QST Dataset3,State 4,Reinforcement Learning Quantum Algorithms,0.867,0.882,0.233,0.181,0.683,0.83
QST Dataset3,State 5,Shadow Tomography,0.784,0.718,0.082,0.094,0.657,0.884
QST Dataset3,State 1,Bayesian Inference,0.894,0.727,0.179,0.248,0.723,0.96
QST Dataset3,State 2,Maximum Likelihood,0.735,0.943,0.281,0.122,0.912,0.939
QST Dataset3,State 3,Variational Quantum Eigensolver,0.853,0.943,0.214,0.054,0.698,0.891
QST Dataset3,State 4,Quantum Neural Networks,0.934,0.934,0.282,0.286,0.834,0.881
QST Dataset3,State 5,Reinforcement Learning Quantum Algorithms,0.706,0.893,0.15,0.086,0.678,0.857
QST Dataset3,State 1,Shadow Tomography,0.813,0.829,0.127,0.299,0.909,0.959
QST Dataset3,State 2,Bayesian Inference,0.809,0.83,0.24,0.206,0.72,0.948
QST Dataset3,State 3,Maximum Likelihood,0.826,0.781,0.13,0.067,0.753,0.804
QST Dataset3,State 4,Variational Quantum Eigensolver,0.929,0.814,0.07,0.244,0.893,0.903
QST Dataset3,State 5,Quantum Neural Networks,0.855,0.759,0.254,0.258,0.829,0.912
QST Dataset3,State 1,Reinforcement Learning Quantum Algorithms,0.756,0.767,0.063,0.168,0.898,0.954
QST Dataset3,State 2,Shadow Tomography,0.777,0.904,0.143,0.144,0.876,0.931
QST Dataset3,State 3,Bayesian Inference,0.861,0.837,0.181,0.19,0.727,0.909
QST Dataset3,State 4,Maximum Likelihood,0.716,0.705,0.062,0.141,0.75,0.758
QST Dataset3,State 5,Variational Quantum Eigensolver,0.706,0.884,0.261,0.171,0.83,0.97
QST Dataset3,State 1,Quantum Neural Networks,0.857,0.921,0.057,0.076,0.837,0.791
QST Dataset3,State 2,Reinforcement Learning Quantum Algorithms,0.866,0.852,0.216,0.26,0.781,0.76
QST Dataset3,State 3,Shadow Tomography,0.803,0.713,0.142,0.225,0.847,0.811
QST Dataset3,State 4,Bayesian Inference,0.892,0.887,0.086,0.232,0.822,0.885
QST Dataset3,State 5,Maximum Likelihood,0.78,0.748,0.273,0.094,0.657,0.783
QST Dataset3,State 1,Variational Quantum Eigensolver,0.7,0.754,0.1,0.23,0.779,0.886
QST Dataset3,State 2,Quantum Neural Networks,0.829,0.723,0.292,0.202,0.895,0.818
QST Dataset3,State 3,Reinforcement Learning Quantum Algorithms,0.877,0.916,0.054,0.255,0.837,0.884
QST Dataset3,State 4,Shadow Tomography,0.734,0.939,0.208,0.102,0.715,0.88
QST Dataset3,State 5,Bayesian Inference,0.846,0.877,0.287,0.236,0.658,0.829
QST Dataset3,State 1,Maximum Likelihood,0.861,0.917,0.238,0.066,0.872,0.807
QST Dataset3,State 2,Variational Quantum Eigensolver,0.891,0.883,0.162,0.165,0.681,0.753
QST Dataset3,State 3,Quantum Neural Networks,0.718,0.82,0.187,0.223,0.721,0.87
QST Dataset3,State 4,Reinforcement Learning Quantum Algorithms,0.871,0.903,0.196,0.197,0.862,0.898
QST Dataset3,State 5,Shadow Tomography,0.871,0.764,0.149,0.137,0.886,0.807
QST Dataset3,State 1,Bayesian Inference,0.734,0.707,0.162,0.282,0.919,0.788
QST Dataset3,State 2,Maximum Likelihood,0.848,0.753,0.135,0.294,0.879,0.911
QST Dataset3,State 3,Variational Quantum Eigensolver,0.744,0.915,0.283,0.193,0.703,0.841
QST Dataset3,State 4,Quantum Neural Networks,0.838,0.74,0.146,0.179,0.738,0.852
QST Dataset3,State 5,Reinforcement Learning Quantum Algorithms,0.727,0.754,0.162,0.088,0.75,0.79
QST Dataset3,State 1,Shadow Tomography,0.82,0.805,0.222,0.291,0.857,0.771
QST Dataset3,State 2,Bayesian Inference,0.806,0.786,0.095,0.273,0.735,0.877
QST Dataset3,State 3,Maximum Likelihood,0.838,0.859,0.174,0.172,0.887,0.959
